left_vertices
V:-0.899429,0.880615;R:-1.02421,-1.28603;G:-1.05865,-1.32927;B:-1.10181,-1.38347;w:0.19237
V:-0.889412,0.886396;R:-0.992099,-1.28656;G:-1.02521,-1.32949;B:-1.06678,-1.3834;w:0.192916
V:-0.879161,0.892011;R:-0.95964,-1.28665;G:-0.991429,-1.32927;B:-1.0314,-1.38286;w:0.196967
V:-0.868751,0.897626;R:-0.927246,-1.28684;G:-0.957737,-1.32916;B:-0.996129,-1.38244;w:0.200127
V:-0.858245,0.903407;R:-0.895259,-1.28763;G:-0.924494,-1.32968;B:-0.961357,-1.3827;w:0.198168
V:-0.84745,0.908857;R:-0.862676,-1.2876;G:-0.890644,-1.32934;B:-0.925961,-1.38205;w:0.203061
V:-0.836501,0.914307;R:-0.830206,-1.28773;G:-0.856932,-1.32918;B:-0.890729,-1.3816;w:0.206417
V:-0.825396,0.919757;R:-0.797848,-1.28805;G:-0.823359,-1.32924;B:-0.855662,-1.38139;w:0.208051
V:-0.814109,0.925125;R:-0.765464,-1.28836;G:-0.789776,-1.32928;B:-0.820604,-1.38117;w:0.20971
V:-0.802643,0.93041;R:-0.733072,-1.28868;G:-0.756204,-1.32935;B:-0.785575,-1.38098;w:0.211135
V:-0.790976,0.93553;R:-0.700563,-1.28882;G:-0.722527,-1.32923;B:-0.750452,-1.3806;w:0.213982
V:-0.779151,0.940608;R:-0.668147,-1.28915;G:-0.688966,-1.32932;B:-0.715468,-1.38045;w:0.215091
V:-0.767136,0.945522;R:-0.635656,-1.28936;G:-0.655343,-1.32929;B:-0.680436,-1.38019;w:0.217056
V:-0.754948,0.950311;R:-0.603168,-1.2896;G:-0.62174,-1.32931;B:-0.645441,-1.37998;w:0.218642
V:-0.742584,0.954936;R:-0.570646,-1.28979;G:-0.588117,-1.32928;B:-0.610441,-1.37973;w:0.220488
V:-0.730049,0.959395;R:-0.538108,-1.28996;G:-0.554494,-1.32925;B:-0.575455,-1.37949;w:0.222306
V:-0.71735,0.963689;R:-0.505569,-1.29016;G:-0.520885,-1.32924;B:-0.540498,-1.37929;w:0.223801
V:-0.704496,0.967818;R:-0.473039,-1.29041;G:-0.4873,-1.32931;B:-0.50558,-1.37918;w:0.224689
V:-0.691476,0.971699;R:-0.440452,-1.29052;G:-0.453668,-1.32925;B:-0.470626,-1.37893;w:0.226508
